,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,innisfail,0,AU,1567296208,55,-17.52,146.03,71.01,5.99
1,ouesso,85,CG,1567296209,92,1.61,16.05,71.0,2.17
2,marau,94,BR,1567296209,89,-28.45,-52.2,56.42,6.31
3,castro,90,CL,1567296100,70,-42.48,-73.76,46.4,5.82
4,torbay,20,CA,1567296104,88,47.66,-52.73,66.0,16.11
5,maltahohe,0,NA,1567296210,30,-24.83,16.98,41.3,19.15
6,ancud,90,CL,1567296182,70,-41.87,-73.83,46.4,5.82
7,qaanaaq,80,GL,1567296112,47,77.48,-69.36,39.68,4.79
8,hobyo,2,SO,1567296082,84,5.35,48.53,75.86,24.0
9,atuona,27,PF,1567296094,76,-9.8,-139.03,78.92,15.57
10,saskylakh,20,RU,1567296099,62,71.97,114.09,44.18,2.17
11,albany,1,US,1567295896,55,42.65,-73.75,70.0,8.05
12,mount isa,0,GB,1567296090,87,53.66,-1.85,54.0,5.82
13,kulhudhuffushi,100,MV,1567296211,79,6.62,73.07,81.62,15.55
14,vila franca do campo,0,IT,1567296211,94,45.18,8.4,73.99,9.17
15,rikitea,82,PF,1567296085,85,-23.12,-134.97,73.52,17.72
16,vaini,100,IN,1567296174,96,15.34,74.49,75.14,4.34
17,palmer,20,AU,1567295889,82,-34.85,139.16,61.0,16.11
18,busselton,41,AU,1567295974,58,-33.64,115.35,61.0,34.16
19,lebu,40,ET,1567296102,93,8.96,38.73,55.4,6.93
20,fortuna,1,US,1567296112,53,40.6,-124.16,75.2,14.99
21,bambous virieux,40,MU,1567296213,73,-20.26,57.41,71.6,12.75
22,puerto ayora,0,AR,1567296089,64,-51.62,-69.23,39.2,23.04
23,waddan,6,LY,1567296213,22,29.16,16.14,82.16,15.95
24,punta arenas,75,PH,1567296108,94,14.18,121.12,80.01,2.24
25,jinchang,0,CN,1567296175,36,38.52,102.19,61.46,3.0
26,khatanga,64,RU,1567295990,53,71.98,102.47,45.62,6.67
27,carnarvon,0,ZA,1567296087,54,-30.97,22.13,41.12,5.77
28,phangnga,75,TH,1567296214,88,8.45,98.53,75.2,3.36
29,hobart,75,AU,1567296107,66,-42.88,147.33,60.01,5.82
30,barrow,100,AR,1567296090,51,-38.31,-60.23,44.9,7.36
31,yatou,75,CM,1567296215,100,3.63,9.81,77.0,2.24
32,jamestown,35,AU,1567296098,72,-33.21,138.6,56.78,13.58
33,butaritari,88,KI,1567296107,74,3.07,172.79,84.68,11.03
34,narsaq,100,GL,1567296123,61,60.91,-46.05,50.0,4.7
35,monterey,1,US,1567296216,31,36.6,-121.89,95.0,18.34
36,bredasdorp,6,ZA,1567296101,62,-34.53,20.04,57.0,10.29
37,kapaa,40,US,1567296087,62,22.08,-159.32,89.6,13.87
38,tuktoyaktuk,90,CA,1567296106,75,69.44,-133.03,41.0,6.93
39,kiunga,80,PG,1567296217,69,-6.12,141.3,77.84,4.72
40,avarua,94,CK,1567295857,64,-21.21,-159.78,71.6,3.36
41,ushuaia,75,AR,1567296094,86,-54.81,-68.31,33.8,23.04
42,geraldton,75,CA,1567296217,55,49.72,-86.95,64.4,3.36
43,hilo,90,US,1567296161,58,19.71,-155.08,87.8,9.17
44,yumen,65,CN,1567296218,21,40.29,97.04,70.1,21.99
45,cape town,67,CL,1567296112,54,-36.41,-71.9,53.6,12.75
46,mys shmidta,67,RU,1567296082,87,62.06,48.62,40.4,2.44
47,okhotsk,92,RU,1567296218,71,59.36,143.24,57.86,6.35
48,high level,1,US,1567296219,58,33.61,-95.75,88.0,9.17
49,hermanus,69,ZA,1567296083,78,-34.42,19.24,57.0,5.01
50,kamsack,75,CA,1567296219,60,51.56,-101.9,68.0,4.7
51,tubuala,40,PA,1567296219,74,9.52,-79.03,82.4,9.17
52,jumla,35,NP,1567296220,93,29.28,82.18,52.1,2.66
53,east london,25,UG,1567296092,97,3.43,31.7,65.24,1.88
54,altayskoye,9,RU,1567296220,72,51.95,85.34,47.6,5.28
55,avera,1,US,1567296221,83,33.19,-82.53,87.8,4.7
56,esperance,0,AU,1567296221,81,-33.86,121.89,48.2,12.75
57,san patricio,25,ML,1567296002,61,13.3,-4.9,82.52,5.7
58,faya,0,SA,1567296221,58,18.39,42.45,69.8,2.98
59,sitka,93,US,1567296166,68,37.17,-99.65,80.01,8.01
60,naze,100,NG,1567296222,95,5.43,7.07,73.7,2.24
61,kwinana,83,AU,1567296222,93,-32.25,115.77,57.99,13.87
62,provideniya,100,RU,1567296128,90,64.42,-173.23,46.34,7.94
63,saint-philippe,90,CA,1567296091,63,45.36,-73.48,68.0,3.36
64,emerald,90,AU,1567296222,68,-23.53,148.16,70.0,3.36
65,pangnirtung,100,CA,1567296147,79,66.15,-65.72,47.06,4.34
